"timestamp","checkedIMEI","key"
"2012-02-16 14:29:11",354949041988593,15002
"2012-2-17 13:19:19",354321046956290,15003
"2012-2-19 22:59:58",354321046956290,17002
"2012-2-22 15:45:17",333333333333333,17004
"2012-2-19 22:59:58",354321046956290,18002
"2012-2-19 13:59:12",911114751762987,18003
"2012-2-22 12:19:19",354321046956290,18004
"2012-2-22 02:42:46",357814043966442,18007
"2012-2-16 14:58:34",910001154440272,19001
"2012-2-17 01:28:08",354321046956290,19002
"2012-2-16 22:56:55",354321046956290,20002
"2012-2-20 22:28:12",354321046956290,20003
"2012-2-16 18:27:45",354321046956290,21001
"2012-2-18 13:06:17",354321046956290,22001
"2012-2-19 01:02:03",354321046956290,22002
"2012-2-22 02:42:46",357814043966442,22003
"2012-2-22 02:42:46",357814043966442,22004
"2012-2-20 18:16:11",354321046956290,23001
"2012-2-21 13:58:03",354154021551863,23002
"2012-2-21 18:04:59",357836030169284,23003
"2012-2-22 15:45:17",354321046956290,24004
"2012-2-23 13:50:09",354321046956290,26001
"2012-2-23 13:15:46",12938006467879,27001
"2012-2-25 20:09:11",356939034924018,27007
"2012-2-25 15:53:14",359874042473814,29003
"2012-2-27 15:24:54",355299033477638,29004
"2012-2-28 11:17:43",355299033477638,29005
"2012-2-25 15:44:52",359874042473715,31002
"2012-2-27 19:48:13",351531042661990,31003
"2012-2-25 20:19:42",356939034924018,32001
"2012-2-26 22:19:42",356939034924018,33001
"2012-2-28 11:17:43",355277033477638,33003
"2012-2-27 15:24:54",355299033477638,34001
"2012-2-28 15:40:41",356939034924018,35001
"2012-2-28 15:40:41",356939034924017,36001
"2012-2-28 15:40:41",12651003681810,36002
"2012-2-29 14:49:49",355299033477638,36003
"2012-2-29 16:58:31",354321046956290,37001
"2012-2-29 16:58:31",354321046956290,38001
"2012-3-05 10:06:15",355299033477638,39001
"2012-3-05 10:15:32",355299033477638,40001
"2012-3-05 10:21:46",355299033477638,41001
"2012-3-06 09:14:49",355299033477638,42001
"2012-3-06 17:55:10",355299033477638,42002
"2012-3-06 23:19:18",323233233323232,42003
"2012-3-06 14:25:56",355299033477638,43001
"2012-3-06 12:29:17",355299033477638,44001
"2012-3-07 15:04:13",355299033477638,45001
"2012-3-07 12:27:37",12534008437448,46001
"2012-3-09 00:07:15",353490041922150,47001
"2012-3-09 00:07:15",353490041922150,48001
"2012-3-09 09:01:56",357930041090603,48002
"2012-3-09 13:55:19",353490044092977,49001
"2012-3-09 13:55:19",358567040141463,50001
"2012-3-09 22:50:30",358055040476261,51001
"2012-3-12 19:16:11",355299033477638,52001
"2012-3-13 17:51:47",354305047199430,53001
"2012-3-13 17:51:47",354362034771069,54001
"2012-3-14 18:06:03",351772040871658,55001
"2012-3-17 15:31:05",351823050680115,57001
"2012-3-19 07:07:35",359651043640314,57002
"2012-3-17 18:09:24",354321046956290,58001
"2012-3-19 16:05:03",359420038324452,58002
"2012-3-18 23:52:49",354321046956290,59001
"2012-3-25 13:25:02",123456789012345,63001
"2012-3-30 14:56:40",357750040679036,65001
"2012-4-02 20:02:03",359236045767396,65003
"2012-4-02 20:08:30",359236045767396,65004
"2012-4-03 12:47:21",355299041538694,65005
"2012-4-09 10:15:30",356252042552668,65006
"2012-4-17 14:26:47",910023401307534,65008
"2012-4-01 02:28:45",355066040090427,66001
"2012-4-01 19:31:52",357288044279297,66002
"2012-4-02 20:08:30",359236045767396,66003
"2012-4-03 09:50:53",357853040053200,66004
"2012-4-04 09:54:52",357853040053200,66006
"2012-4-07 20:03:49",356107044955675,66007
"2012-4-12 09:31:29",358401043900305,66008
"2012-4-15 15:31:02",351823057759672,66010
"2012-4-17 13:44:04",910023400991536,66011
"2012-4-17 14:14:05",910023400991536,66012
"2012-4-17 14:26:05",910023401307534,66013
"2012-4-01 19:31:52",357288044279297,67001
"2012-4-02 09:49:30",357853040053200,67002
"2012-4-02 20:08:30",359236045767396,67003
"2012-4-04 08:45:12",356107048187085,67004
"2012-4-04 09:54:52",234234234234234,67005
"2012-4-04 18:47:30",358049041913604,67006
"2012-4-9  6:22:33 ",12430995313916,67007
"2012-4-17 14:22:22",910023400991536,67008
"2012-4-02 09:49:30",357853040053200,68001
"2012-4-02 20:02:03",359236045767396,68002
"2012-4-02 20:08:30",359236045767396,68003
"2012-4-03 05:51:50",359236045767396,68004
"2012-4-11 23:03:35",359758039831172,68005
"2012-4-11 21:37:20",358401043900305,68006
"2012-4-02 09:49:30",357853040053200,69001
"2012-4-03 09:50:53",357853040053200,69002
"2012-4-17 15:19:29",910023401307534,69004
"2012-4-02 09:49:30",357853040053200,70001
"2012-4-03 09:50:53",357853040053200,70002
"2012-4-03 17:06:52",359236045767396,70003
"2012-4-03 21:27:47",357853040053200,70004
"2012-4-04 18:39:01",356521045267551,70005
"2012-4-10 11:24:39",356107044955675,70006
"2012-4-10 07:25:31",352004050148556,70008
"2012-4-14 15:45:31",353487041624158,70009
"2012-4-02 09:59:47",357853040053200,71001
"2012-4-07 16:41:14",359548041444568,71002
"2012-4-11 23:03:35",359758039831172,71004
"2012-4-17 13:51:16",910023400991536,71005
"2012-4-02 20:08:30",359236045767396,72001
"2012-4-03 09:50:53",357853040053200,72002
"2012-4-03 09:50:53",357853040053200,72003
"2012-4-03 09:50:53",357853040053200,72004
"2012-4-09 15:59:58",356330047380317,72007
"2012-4-17 11:15:54",351823057759672,72008
"2012-4-17 15:17:59",910023401307534,72009
"2012-4-05 10:35:20",359420038324452,73001
"2012-4-13 11:25:55",353648042633478,74001
"2012-4-18 22:23:50",358508047064159,75001
"2012-4-18 16:05:01",35625204255266,77001
"2012-4-18 16:01:52",356252042552668,77002
"2012-4-18 16:01:52",356252042552668,78001
"2012-4-18 10:45:40",12540003369940,79001
"2012-4-18 10:45:40",12540003369940,80001
"2012-4-22 18:45:35",359444026425808,81001
"2012-4-22 18:45:35",359605043299455,82001
"2012-4-25 09:28:08",358508047064159,84001
"2012-4-25 09:28:08",343242342343243,85001
"2012-4-27 16:36:17",123123131233242,86001
"2012-4-27 16:36:17",910023401307534,87001
"2012-4-28 22:25:45",354781043617874,87002
"2012-4-27 16:36:17",356521045267551,88001
"2012-4-28 10:55:44",359188041027657,88002
"2012-5-01 16:31:32",359188041027657,88003
"2012-4-28 18:52:35",12568001860750,90001
"2012-5-01 14:22:21",359188041027657,91001
"2012-5-01 16:31:32",675867547674567,92001
"2012-5-01 16:43:56",355299033477638,93001
"2012-5-01 16:43:56",351823050680115,94001
"2012-5-02 17:25:57",232131232132132,95001
"2012-5-02 17:25:57",352020043008962,96001
"2012-5-02 22:12:07",359188041027657,96002
